Nr.   Classes Functions      NCSS  Javadocs Package
  1        14       157       637       134 com.becker.game.common
  2        11       136      1132       105 com.becker.game.common.ui
  3         9        96       500        57 com.becker.game.multiplayer.galactic
  4        16       109       924        74 com.becker.game.multiplayer.galactic.ui
  5         5        75       807        56 com.becker.game.twoplayer.blockade
  6         4        31       354        22 com.becker.game.twoplayer.blockade.ui
  7         4        33       301        28 com.becker.game.twoplayer.checkers
  8         4        25       181        14 com.becker.game.twoplayer.checkers.ui
  9         4        46       361        38 com.becker.game.twoplayer.chess
 10         4        19       139        11 com.becker.game.twoplayer.chess.ui
 11         4        87       355        77 com.becker.game.twoplayer.common
 12         5        33       335        30 com.becker.game.twoplayer.common.search
 13         9       103      1244        66 com.becker.game.twoplayer.common.ui
 14        14       228      2348       200 com.becker.game.twoplayer.go
 15         6        44       533        30 com.becker.game.twoplayer.go.ui
 16         3        28       343        19 com.becker.game.twoplayer.pente
 17         3        13        64         4 com.becker.game.twoplayer.pente.ui
    --------- --------- --------- ---------
          119      1263     10558       965 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    17.00    119.00   1263.00  10558.00    965.00 | Project
               7.00     74.29    621.06     56.76 | Package
                        10.61     88.72      8.11 | Class
                                   8.36      0.76 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   69        17       0       18 com.becker.game.common.Board
  2   10         9       0       10 com.becker.game.common.BoardInterface
  3   49        15       0       10 com.becker.game.common.BoardPosition
  4   44         7       0        8 com.becker.game.common.CaptureList
  5  129        20       0       17 com.becker.game.common.GameContext
  6   76        23       0       22 com.becker.game.common.GameController
  7   14        13       0       14 com.becker.game.common.GameControllerInterface
  8   50        13       0        9 com.becker.game.common.GamePiece
  9   53        14       0        8 com.becker.game.common.GameWeights
 10   32         5       0        3 com.becker.game.common.LocaleType
 11   21         6       0        7 com.becker.game.common.Location
 12   22         4       0        4 com.becker.game.common.Move
 13   33        10       0        2 com.becker.game.common.Player
 14   81         7       1        7 com.becker.game.common.ui.GameApp
 15   24         3       0        3 com.becker.game.common.ui.GameApplet
 16  225        46       0       40 com.becker.game.common.ui.GameBoardViewer
 17   12         3       0        4 com.becker.game.common.ui.GameChangedEvent
 18    2         1       0        1 com.becker.game.common.ui.GameChangedListener
 19   78        15       0       10 com.becker.game.common.ui.GameInfoPanel
 20  191        16       0        9 com.becker.game.common.ui.GameOptionsDialog
 21  149        17       0       17 com.becker.game.common.ui.GamePanel
 22   62         9       0        7 com.becker.game.common.ui.GamePieceRenderer
 23   87         7       0        4 com.becker.game.common.ui.HelpDialog
 24  136        12       0        3 com.becker.game.common.ui.NewGameDialog
 25    2         1       0        2 com.becker.game.common.ViewerCallbackInterface
 26  111        29       0       21 com.becker.game.multiplayer.galactic.GalacticController
 27    3         1       0        1 com.becker.game.multiplayer.galactic.GalacticHumanPlayer
 28    6         2       0        3 com.becker.game.multiplayer.galactic.GalacticMove
 29   61        10       0        7 com.becker.game.multiplayer.galactic.GalacticPlayer
 30   40         3       0        3 com.becker.game.multiplayer.galactic.GalacticRobotPlayer
 31   90        14       0       11 com.becker.game.multiplayer.galactic.Galaxy
 32   67        16       0        4 com.becker.game.multiplayer.galactic.Order
 33   76        19       0        5 com.becker.game.multiplayer.galactic.Planet
 34    5         2       0        2 com.becker.game.multiplayer.galactic.Turn
 35   88        11       0        9 com.becker.game.multiplayer.galactic.ui.BattleDialog
 36   77         9       0        7 com.becker.game.multiplayer.galactic.ui.GalacticInfoPanel
 37   55         7       0        3 com.becker.game.multiplayer.galactic.ui.GalacticNewGameDialog
 38   40         3       0        2 com.becker.game.multiplayer.galactic.ui.GalacticOptionsDialog
 39   17         7       0        2 com.becker.game.multiplayer.galactic.ui.GalacticPanel
 40   85        15       0       10 com.becker.game.multiplayer.galactic.ui.GalaxyViewer
 41   83         8       0        8 com.becker.game.multiplayer.galactic.ui.OrderDialog
 42   67         8       0        5 com.becker.game.multiplayer.galactic.ui.OrdersDialog
 43   53         7       0        4 com.becker.game.multiplayer.galactic.ui.OrdersTable
 44   10         4       0        1 com.becker.game.multiplayer.galactic.ui.OrdersTableModel
 45   34         5       0        5 com.becker.game.multiplayer.galactic.ui.PlanetDetailsDialog
 46   28         4       0        3 com.becker.game.multiplayer.galactic.ui.PlanetRenderer
 47   70         9       0        6 com.becker.game.multiplayer.galactic.ui.PlayerTable
 48   10         4       0        1 com.becker.game.multiplayer.galactic.ui.PlayerTableModel
 49   33         4       0        4 com.becker.game.multiplayer.galactic.ui.StatsDialog
 50   26         4       0        4 com.becker.game.multiplayer.galactic.ui.TallyDialog
 51  302        19       0       13 com.becker.game.twoplayer.blockade.BlockadeBoard
 52   48        16       0       14 com.becker.game.twoplayer.blockade.BlockadeBoardPosition
 53  359        24       1       17 com.becker.game.twoplayer.blockade.BlockadeController
 54   49         9       0        5 com.becker.game.twoplayer.blockade.BlockadeMove
 55   25         7       0        7 com.becker.game.twoplayer.blockade.BlockadeWall
 56  254        18       0       13 com.becker.game.twoplayer.blockade.ui.BlockadeBoardViewer
 57    5         2       0        1 com.becker.game.twoplayer.blockade.ui.BlockadeNewGameDialog
 58   15         6       0        3 com.becker.game.twoplayer.blockade.ui.BlockadePanel
 59   49         5       0        5 com.becker.game.twoplayer.blockade.ui.BlockadePieceRenderer
 60   40         7       0        8 com.becker.game.twoplayer.checkers.CheckersBoard
 61  186        14       0       14 com.becker.game.twoplayer.checkers.CheckersController
 62   49        10       0        4 com.becker.game.twoplayer.checkers.CheckersMove
 63    9         2       0        2 com.becker.game.twoplayer.checkers.CheckersPiece
 64  109        14       0        7 com.becker.game.twoplayer.checkers.ui.CheckersBoardViewer
 65    5         2       0        1 com.becker.game.twoplayer.checkers.ui.CheckersNewGameDialog
 66   14         6       0        3 com.becker.game.twoplayer.checkers.ui.CheckersPanel
 67   21         3       0        3 com.becker.game.twoplayer.checkers.ui.CheckersPieceRenderer
 68   70         8       0        6 com.becker.game.twoplayer.chess.ChessBoard
 69   96        11       0       11 com.becker.game.twoplayer.chess.ChessController
 70   39         8       0        4 com.becker.game.twoplayer.chess.ChessMove
 71  134        19       0       17 com.becker.game.twoplayer.chess.ChessPiece
 72   29         6       0        3 com.becker.game.twoplayer.chess.ui.ChessBoardViewer
 73    5         2       0        1 com.becker.game.twoplayer.chess.ui.ChessNewGameDialog
 74   15         6       0        2 com.becker.game.twoplayer.chess.ui.ChessPanel
 75   61         5       0        5 com.becker.game.twoplayer.chess.ui.ChessPieceRenderer
 76  116         3       0        3 com.becker.game.twoplayer.common.search.MiniMaxStrategy
 77   89         4       0        4 com.becker.game.twoplayer.common.search.NegaMaxStrategy
 78   10         9       0       10 com.becker.game.twoplayer.common.search.SearchableInterface
 79   67        14       0       11 com.becker.game.twoplayer.common.search.SearchStrategy
 80   23         3       0        2 com.becker.game.twoplayer.common.search.SearchTreeNode
 81  261        61       1       53 com.becker.game.twoplayer.common.TwoPlayerController
 82   13        12       0       11 com.becker.game.twoplayer.common.TwoPlayerControllerInterface
 83   57        10       0        8 com.becker.game.twoplayer.common.TwoPlayerMove
 84    5         4       0        5 com.becker.game.twoplayer.common.TwoPlayerViewerCallbackInterface
 85   96         7       0        1 com.becker.game.twoplayer.common.ui.EditWeightsDialog
 86   67         7       0        1 com.becker.game.twoplayer.common.ui.GameTreeCellRenderer
 87  222        21       0       16 com.becker.game.twoplayer.common.ui.GameTreeDialog
 88  147        14       0       10 com.becker.game.twoplayer.common.ui.GameTreeViewer
 89  186        21       2       20 com.becker.game.twoplayer.common.ui.TwoPlayerBoardViewer
 90   45         5       0        5 com.becker.game.twoplayer.common.ui.TwoPlayerInfoPanel
 91  174        11       0        1 com.becker.game.twoplayer.common.ui.TwoPlayerNewGameDialog
 92  132         8       1        6 com.becker.game.twoplayer.common.ui.TwoPlayerOptionsDialog
 93   73         9       0        6 com.becker.game.twoplayer.common.ui.TwoPlayerPanel
 94   18         4       0        4 com.becker.game.twoplayer.go.EyeType
 95   36         6       0        6 com.becker.game.twoplayer.go.GoArmy
 96 1074        79       0       70 com.becker.game.twoplayer.go.GoBoard
 97   43        13       0       11 com.becker.game.twoplayer.go.GoBoardPosition
 98   44         5       0        4 com.becker.game.twoplayer.go.GoBoardUtil
 99  272        26       0       18 com.becker.game.twoplayer.go.GoController
100   93        10       0        8 com.becker.game.twoplayer.go.GoEye
101  456        36       0       33 com.becker.game.twoplayer.go.GoGroup
102    2         1       0        1 com.becker.game.twoplayer.go.GoMember
103   43         6       0        6 com.becker.game.twoplayer.go.GoMove
104   31         9       0       10 com.becker.game.twoplayer.go.GoSet
105   39        10       0        9 com.becker.game.twoplayer.go.GoStone
106  124        19       0       16 com.becker.game.twoplayer.go.GoString
107   22         4       0        4 com.becker.game.twoplayer.go.NeighborType
108  131        12       0        9 com.becker.game.twoplayer.go.ui.GoBoardViewer
109  221         7       0        5 com.becker.game.twoplayer.go.ui.GoGroupRenderer
110   35         4       0        3 com.becker.game.twoplayer.go.ui.GoInfoPanel
111   30         7       0        0 com.becker.game.twoplayer.go.ui.GoNewGameDialog
112   24         8       0        7 com.becker.game.twoplayer.go.ui.GoPanel
113   36         6       0        6 com.becker.game.twoplayer.go.ui.GoStoneRenderer
114   42         8       0        4 com.becker.game.twoplayer.pente.PenteBoard
115  191        14       0       11 com.becker.game.twoplayer.pente.PenteController
116   96         6       0        4 com.becker.game.twoplayer.pente.PentePatterns
117   21         5       0        2 com.becker.game.twoplayer.pente.ui.PenteBoardViewer
118    5         2       0        0 com.becker.game.twoplayer.pente.ui.PenteNewGameDialog
119   15         6       0        2 com.becker.game.twoplayer.pente.ui.PentePanel
Average Object NCSS:                 82.36
